"HP4291B REV1.02"
"DATE: Oct 17 1992"



"CHANNEL: 1"
"MEASURE PARAMETER: IMPEDANCE MAG"
"NUMBER of POINTS: 201"
"SWEEP DELAY TIME:  0 s"
"POINT DELAY TIME:  0 s"
"SWEEP TYPE: LIN FREQ"
"POINT AVERAGE: OFF"
"OSC LEVEL:  50 mV"
"DC BIAS: OFF"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
1.000000000000E+06	8.496904E+02	0.000000E+00	0.000000E+00	0.000000E+00
1.475000000000E+06	5.785217E+02	0.000000E+00	0.000000E+00	0.000000E+00
1.950000000000E+06	4.390333E+02	0.000000E+00	0.000000E+00	0.000000E+00
2.425000000000E+06	3.552034E+02	0.000000E+00	0.000000E+00	0.000000E+00
2.900000000000E+06	2.979738E+02	0.000000E+00	0.000000E+00	0.000000E+00
3.375000000000E+06	2.569665E+02	0.000000E+00	0.000000E+00	0.000000E+00
3.850000000000E+06	2.257925E+02	0.000000E+00	0.000000E+00	0.000000E+00
4.325000000000E+06	2.014892E+02	0.000000E+00	0.000000E+00	0.000000E+00
4.800000000000E+06	1.818439E+02	0.000000E+00	0.000000E+00	0.000000E+00
5.275000000000E+06	1.656727E+02	0.000000E+00	0.000000E+00	0.000000E+00
5.750000000000E+06	1.520653E+02	0.000000E+00	0.000000E+00	0.000000E+00
6.225000000000E+06	1.405724E+02	0.000000E+00	0.000000E+00	0.000000E+00
6.700000000000E+06	1.306207E+02	0.000000E+00	0.000000E+00	0.000000E+00
7.175000000000E+06	1.221033E+02	0.000000E+00	0.000000E+00	0.000000E+00
7.650000000000E+06	1.144203E+02	0.000000E+00	0.000000E+00	0.000000E+00
8.125000000000E+06	1.076619E+02	0.000000E+00	0.000000E+00	0.000000E+00
8.600000000000E+06	1.016531E+02	0.000000E+00	0.000000E+00	0.000000E+00
9.075000000000E+06	9.629585E+01	0.000000E+00	0.000000E+00	0.000000E+00
9.550000000000E+06	9.137888E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.002500000000E+07	8.695632E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.050000000000E+07	8.288567E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.097500000000E+07	7.916546E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.145000000000E+07	7.574240E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.192500000000E+07	7.258259E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.240000000000E+07	6.961779E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.287500000000E+07	6.686473E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.335000000000E+07	6.431384E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.382500000000E+07	6.191541E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.430000000000E+07	5.964963E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.477500000000E+07	5.754131E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.525000000000E+07	5.556427E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.572500000000E+07	5.367703E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.620000000000E+07	5.187557E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.667500000000E+07	5.020104E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.715000000000E+07	4.859241E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.762500000000E+07	4.706121E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.810000000000E+07	4.561770E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.857500000000E+07	4.424228E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.905000000000E+07	4.290237E+01	0.000000E+00	0.000000E+00	0.000000E+00
1.952500000000E+07	4.161878E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.000000000000E+07	4.040074E+01	0.000000E+00	0.000000E+00	0.000000E+00
2.047500000000E+07	3.924345E+01	0.000000E+00	0.000000E+00	0.000000E+00
