ID1,ID2,DifferingComponents,ChosenFrequency,PeakMagnitudeDiff,IntegratedAreaDiff,IntegratedSquaredAreaDiff
N00,N01,,12 MHz,0.0522666128890809,-0.443818615592566,0.130014170236483
N00,N02,,12 MHz,0.0370335166989151,0.0324412380258927,0.100609007988339
N00,N03,,12 MHz,0.0863963197166721,-0.557592519437665,0.434887365584769
N00,N04,,12 MHz,0.0890392573651951,-0.191634448181752,0.320273354409666
N00,N05,,6 MHz,0.355845820490127,-0.965181672109147,12.3487082354085
N00,N06,,3 MHz,1.00625629444258,2.69025382549506,107.1858098753
N00,N07,,12 MHz,0.158748720747506,-0.147908601627575,1.15699363134814
N00,N08,,12 MHz,0.120188945332514,-0.27231565565921,0.982982544359203
N00,N09,,12 MHz,0.146951533569403,-0.363659853457331,0.892893903783385
N00,N10,,12 MHz,0.202209893994155,-0.291713685093882,1.78859132387034
N00,N11,,3 MHz,0.325296792504654,0.760605919064913,15.3250802919485
N00,N12,,12 MHz,0.335846022855111,-0.735537282429557,4.94945938111269
N00,N13,,12 MHz,0.115546418465597,-0.250341980903814,0.659984432121275
N00,N14,,12 MHz,0.103433193720219,0.207987817110127,0.561614151802436
N00,N15,,12 MHz,0.179287488762262,-0.462367772239519,1.6867562260978
N00,N16,,12 MHz,0.353226587981459,-0.439694680994533,4.55036208720514
N00,N17,,6 MHz,0.560319833979309,-0.199763921018093,27.4642351408569
N00,N18,,12 MHz,0.204335694758949,-1.0578714590711,1.45441862632867
N00,N19,,12 MHz,0.169963558284472,-0.29053108630832,0.998762476256646
N00,N20,,12 MHz,0.321528796802802,-0.353652736257354,3.97478430566498
N00,N21,,12 MHz,0.352016050492327,-0.361003487233722,4.23327860980765
N00,N22,,12 MHz,0.54159847509813,-0.227241639163171,8.9121100078036
N00,N23,,12 MHz,0.314725594093944,-0.360894292009436,4.08826428510441
N00,N24,,12 MHz,0.909552887436354,-0.991890514186324,20.7774918480952
N00,N25,,12 MHz,1.27335313738121,-0.794717210569082,25.6121690279342
N01,N02,,12 MHz,0.0456215350018604,0.476259853618459,0.129079509968798
N01,N03,,12 MHz,0.107645652270386,-0.113773903845099,0.522920320893783
N01,N04,,12 MHz,0.119112199837399,0.252184167410814,0.512134434898909
N01,N05,,6 MHz,0.362376781517991,-0.179127152317888,12.9954598366496
N01,N06,,3 MHz,0.976317636646626,3.13390687887193,105.211487799372
N01,N07,,12 MHz,0.137557312509737,0.295910013964991,1.18625612871778
N01,N08,,12 MHz,0.0993864080117573,0.171502959933356,0.843776587993443
N01,N09,,12 MHz,0.122177082485959,0.0801587621352343,0.636033371568773
N01,N10,,12 MHz,0.208926759892178,0.152104930498684,1.81431668513967
N01,N11,,3 MHz,0.333658864101077,1.20425897244179,13.9791299201579
N01,N12,,12 MHz,0.33531568721285,-0.291718666836992,5.02333680308639
N01,N13,,12 MHz,0.111439772483595,0.193476634688752,0.767162237576439
N01,N14,,12 MHz,0.0953174417689264,0.651806432702693,0.629692067090214
N01,N15,,12 MHz,0.172635690739434,-0.0185491566469542,1.88565555422344
N01,N16,,12 MHz,0.348485125511495,0.00412393459803326,4.46468769513651
N01,N17,,6 MHz,0.559495834223457,0.586290598773168,30.791817305577
N01,N18,,12 MHz,0.203925416257347,-0.614052843478538,1.56993776128971
N01,N19,,12 MHz,0.169626316690426,0.153287529284246,1.11970940112006
N01,N20,,12 MHz,0.320834656036716,0.0901658793352119,3.9597217671704
N01,N21,,12 MHz,0.351605771990725,0.0828151283588439,4.33817343996918
N01,N22,,12 MHz,0.546175082627511,0.216576976429395,8.83492312121084
N01,N23,,12 MHz,0.314195258451683,0.0829243235831307,4.23148756991268
N01,N24,,12 MHz,0.908777861419319,-0.548071898593759,20.7683679017857
N01,N25,,12 MHz,1.27282280173895,-0.350898594976516,25.6815883980002
N02,N03,,12 MHz,0.105206450372955,-0.590033757463558,0.537395673773495
N02,N04,,12 MHz,0.0734906648355387,-0.224075686207645,0.357764899300417
N02,N05,,6 MHz,0.356181524094363,-0.420577346110431,12.1092275061922
N02,N06,,3 MHz,0.984405041657765,1.96041216925555,106.439666924669
N02,N07,,12 MHz,0.147811617907316,-0.180349839653468,1.07351364645206
N02,N08,,12 MHz,0.109251842492324,-0.304756893685103,0.964043013698986
N02,N09,,12 MHz,0.136014430729213,-0.396101091483224,0.792993534235249
N02,N10,,12 MHz,0.211783838163065,-0.324154923119775,1.70328532366846
N02,N11,,3 MHz,0.345622119815668,0.0307642628254044,14.7052613718982
N02,N12,,12 MHz,0.335939344606872,-0.76797852045545,4.86882563231709
N02,N13,,12 MHz,0.13054089502537,-0.282783218929707,0.862959482624521
N02,N14,,12 MHz,0.119363979972022,0.175546579084234,0.726106591771466
N02,N15,,12 MHz,0.17154785809755,-0.494809010265412,1.8136622027361
N02,N16,,12 MHz,0.348572455917814,-0.472135919020426,4.64882476725096
N02,N17,,6 MHz,0.555101168858913,0.344840404980625,29.7410191046276
N02,N18,,12 MHz,0.20398489738823,-1.090312697097,1.48722989773876
N02,N19,,12 MHz,0.169461900866936,-0.322972324334213,1.03041119701661
N02,N20,,12 MHz,0.322057538150875,-0.386093974283247,4.04710598461407
N02,N21,,12 MHz,0.351665253121608,-0.393444725259615,4.28359495980332
N02,N22,,12 MHz,0.545793760760575,-0.259682877189064,9.02427736008354
N02,N23,,12 MHz,0.314818915845704,-0.393335530035328,4.040030063369
N02,N24,,12 MHz,0.910272858150054,-1.02433175221222,20.8739156032708
N02,N25,,12 MHz,1.27344645913297,-0.827158448594975,25.6743018717971
